cod_ibge,funcionarios_2008,funcionarios_estatutarios_2008
110001.00,838.00,658.00
110002.00,2390.00,2023.00
110003.00,266.00,141.00
110004.00,1897.00,1298.00
110005.00,497.00,407.00
110006.00,548.00,391.00
110007.00,358.00,341.00
110008.00,588.00,492.00
110009.00,782.00,553.00
110010.00,846.00,595.00
110011.00,1619.00,1154.00
110012.00,2726.00,2057.00
110013.00,871.00,653.00
110014.00,707.00,573.00
110015.00,1200.00,977.00
110018.00,722.00,0.00
110020.00,8443.00,7037.00
110025.00,804.00,638.00
110026.00,233.00,209.00
110028.00,1239.00,964.00
110029.00,335.00,284.00
110030.00,2276.00,1753.00
110032.00,701.00,529.00
110033.00,866.00,768.00
110034.00,728.00,632.00
110037.00,507.00,460.00
110040.00,568.00,424.00
110045.00,949.00,744.00
110050.00,397.00,332.00
110060.00,285.00,257.00
110070.00,414.00,385.00
110080.00,627.00,462.00
110090.00,153.00,112.00
110092.00,584.00,428.00
110094.00,419.00,385.00
110100.00,468.00,361.00
110110.00,500.00,384.00
110120.00,382.00,362.00
110130.00,436.00,368.00
110140.00,498.00,358.00
110143.00,331.00,189.00
110145.00,392.00,328.00
110146.00,198.00,120.00
110147.00,255.00,203.00
110148.00,200.00,133.00
110149.00,579.00,309.00
110150.00,419.00,351.00
110155.00,269.00,202.00
110160.00,483.00,411.00
110170.00,287.00,257.00
110175.00,380.00,337.00
110180.00,362.00,281.00
120001.00,380.00,0.00
120005.00,242.00,0.00
120010.00,716.00,0.00
120013.00,275.00,0.00
120017.00,393.00,0.00
120020.00,1342.00,1194.00
120025.00,432.00,0.00
120030.00,923.00,765.00
120032.00,605.00,0.00
120033.00,403.00,266.00
120034.00,360.00,0.00
120035.00,525.00,449.00
120038.00,694.00,0.00
120039.00,293.00,275.00
120040.00,4303.00,0.00
120042.00,398.00,386.00
120043.00,201.00,0.00
120045.00,723.00,640.00
120050.00,665.00,0.00
120060.00,1036.00,0.00
120070.00,458.00,0.00
120080.00,299.00,0.00
130002.00,659.00,454.00
130006.00,179.00,150.00
130008.00,218.00,112.00
130010.00,142.00,80.00
130014.00,676.00,348.00
130020.00,630.00,131.00
130030.00,1183.00,550.00
130040.00,988.00,711.00
130050.00,789.00,504.00
130060.00,1376.00,577.00
130063.00,764.00,625.00
130068.00,733.00,373.00
130070.00,1554.00,1084.00
130080.00,973.00,420.00
130083.00,882.00,580.00
130090.00,691.00,448.00
130100.00,904.00,769.00
130110.00,1107.00,801.00
130115.00,777.00,443.00
130120.00,1353.00,733.00
130130.00,430.00,331.00
130140.00,1459.00,1150.00
130150.00,704.00,518.00
130160.00,1020.00,954.00
130165.00,637.00,471.00
130170.00,1406.00,745.00
130180.00,380.00,276.00
130185.00,1570.00,753.00
130190.00,3759.00,2692.00
130195.00,399.00,327.00
130200.00,456.00,236.00
130210.00,271.00,65.00
130220.00,375.00,325.00
130230.00,1075.00,739.00
130240.00,1107.00,644.00
130250.00,1322.00,1084.00
130255.00,1011.00,108.00
130260.00,30737.00,14048.00
130270.00,1626.00,901.00
130280.00,711.00,186.00
130290.00,2530.00,939.00
130300.00,621.00,374.00
130310.00,1047.00,398.00
130320.00,542.00,145.00
130330.00,650.00,409.00
130340.00,3720.00,1360.00
130350.00,616.00,445.00
130353.00,2516.00,1716.00
130356.00,733.00,341.00
130360.00,433.00,189.00
130370.00,793.00,581.00
130380.00,1174.00,639.00
