uf,ibge,nome_municipio,rede,rendimento_2005,rendimento_2007,rendimento_2009,rendimento_2011,rendimento_2013,rendimento_2015,notamedia_2005,notamedia_2007,notamedia_2009,notamedia_2011,notamedia_2013,notamedia_2015,ideb_2005,ideb_2007,ideb_2009,ideb_2011,ideb_2013,ideb_2015,meta_2007,meta_2009,meta_2011,meta_2013,meta_2015,meta_2017,meta_2019,meta_2021,ideb_cont_2005,ideb_cont_2007,ideb_cont_2009,ideb_cont_2011,ideb_cont_2013,ideb_cont_2015
RO,1100015,Alta Floresta D'Oeste,Estadual,0.76,0.83,0.85,0.84,0.88,0.93,4.61,4.68,5.07,4.94,6.02,6.23,3.5,3.9,4.3,4.2,5.3,5.8,3.6,3.9,4.3,4.6,4.9,5.2,5.5,5.7,3.499233168,3.886521557,4.31982315,4.174436119,5.307188618,5.781801819
RO,1100015,Alta Floresta D'Oeste,Municipal,,,,,,0.97,,,,,,5.16,,,,,,5,,,,,,5.3,5.5,5.8,,,,,,4.984414643
RO,1100015,Alta Floresta D'Oeste,Pœblica,0.81,0.84,0.89,0.87,0.89,0.95,4.61,4.68,5.07,4.94,6.02,6.12,3.7,4,4.5,4.3,5.4,5.8,3.8,4.1,4.5,4.8,5.1,5.4,5.7,5.9,3.711020854,3.950936716,4.49356749,4.286530065,5.378156386,5.828653663
RO,1100023,Ariquemes,Estadual,0.87,0.89,0.91,0.89,0.95,0.93,4.6,4.86,5.31,5.5,5.52,6.02,4,4.3,4.9,4.9,5.2,5.6,4.1,4.4,4.8,5.1,5.4,5.6,5.9,6.2,4.001755016,4.340331286,4.851038456,4.90183928,5.229911039,5.603777298
RO,1100023,Ariquemes,Municipal,0.86,0.86,0.87,0.9,0.91,0.9,4.09,4.28,4.85,4.85,5.28,5.56,3.5,3.7,4.2,4.4,4.8,5,3.6,3.9,4.3,4.6,4.9,5.2,5.5,5.8,3.526777139,3.66911708,4.217248214,4.372947418,4.787142179,5.026842025
RO,1100023,Ariquemes,Pœblica,0.87,0.86,0.88,0.9,0.92,0.91,4.28,4.5,5.03,5.1,5.38,5.74,3.7,3.9,4.4,4.6,4.9,5.2,3.8,4.1,4.5,4.8,5.1,5.4,5.7,5.9,3.706242974,3.890991357,4.427309149,4.594396462,4.939518051,5.231428592
RO,1100031,Cabixi,Estadual,0.89,0.87,0.91,0.88,0.94,0.96,4.6,4.19,5.01,5.95,,6.53,4.1,3.6,4.5,5.3,,6.3,4.2,4.5,4.9,5.2,5.5,5.7,6,6.3,4.099591208,3.647009333,4.54140589,5.262820457,,6.295351373
RO,1100031,Cabixi,Municipal,0.84,0.9,0.93,0.95,0.98,0.94,4.09,4.29,5,5.38,5.74,5.61,3.4,3.9,4.6,5.1,5.6,5.3,3.5,3.8,4.2,4.5,4.8,5.1,5.4,5.7,3.416121345,3.859160635,4.629136681,5.108855512,5.635847627,5.253555201
RO,1100031,Cabixi,Pœblica,0.85,0.89,0.92,0.94,0.97,0.94,4.31,4.23,5.01,5.6,5.74,5.86,3.7,3.8,4.6,5.2,5.6,5.5,3.7,4.1,4.5,4.8,5.1,5.3,5.6,5.9,3.6694907,3.758720422,4.618013179,5.232383228,5.581607465,5.521485546
RO,1100049,Cacoal,Estadual,0.83,0.84,0.87,0.91,0.93,0.95,4.52,4.47,4.96,5.5,6.08,6.34,3.8,3.8,4.3,5,5.7,6,3.8,4.2,4.6,4.9,5.1,5.4,5.7,6,3.753659344,3.754251008,4.330754492,5.0280555,5.675995346,6.028110047
RO,1100049,Cacoal,Municipal,0.91,0.92,0.91,0.95,0.98,0.98,4.51,4.65,4.97,5.49,5.9,5.92,4.1,4.3,4.5,5.2,5.8,5.8,4.2,4.5,4.9,5.2,5.4,5.7,6,6.2,4.085225907,4.292261383,4.530497093,5.224712186,5.762568251,5.788755553
RO,1100049,Cacoal,Pœblica,0.88,0.89,0.9,0.94,0.96,0.97,4.51,4.55,4.96,5.49,6,6.15,4,4,4.4,5.2,5.8,5.9,4,4.4,4.8,5.1,5.3,5.6,5.9,6.1,3.961934596,4.029588203,4.449601561,5.15139146,5.764023141,5.94188087
