cod_ibge,enrolment_pvt_ef1_2008,enrolment_pvt_2008,enrolment_mun_ef1_2008,enrolment_total_ef1_2008,ratio_enrolment_pvt_mun_2008,share_enrolment_pvt_2008,share_enrolment_mun_2008
500020,83.0,115.0,2191.0,3029.0,0.03788224554997718,0.027401782766589635,0.7233410366457577
500025,17.0,17.0,524.0,779.0,0.03244274809160305,0.021822849807445442,0.6726572528883183
500060,174.0,635.0,4171.0,6517.0,0.04171661472069048,0.026699401565137334,0.6400184133803898
500070,62.0,148.0,1225.0,4110.0,0.05061224489795919,0.01508515815085158,0.2980535279805353
500080,29.0,63.0,512.0,1630.0,0.056640625,0.017791411042944787,0.3141104294478528
500085,25.0,28.0,390.0,1255.0,0.0641025641025641,0.0199203187250996,0.3107569721115538
500090,40.0,52.0,1102.0,1909.0,0.036297640653357534,0.020953378732320588,0.5772655840754322
500100,191.0,416.0,1084.0,3391.0,0.17619926199261993,0.056325567679150694,0.3196697139486877
500110,929.0,1674.0,3804.0,9025.0,0.24421661409043113,0.10293628808864266,0.42149584487534625
500124,0.0,0.0,911.0,1981.0,0.0,0.0,0.4598687531549722
500150,18.0,82.0,503.0,1275.0,0.03578528827037773,0.01411764705882353,0.39450980392156865
500190,181.0,416.0,1126.0,3504.0,0.16074600355239788,0.05165525114155251,0.3213470319634703
500200,69.0,75.0,751.0,2134.0,0.09187749667110519,0.03233364573570759,0.351921274601687
500210,463.0,724.0,2772.0,5022.0,0.16702741702741702,0.09219434488251693,0.5519713261648745
500215,0.0,0.0,836.0,1635.0,0.0,0.0,0.5113149847094801
500220,304.0,430.0,2216.0,4112.0,0.1371841155234657,0.07392996108949416,0.5389105058365758
500230,3.0,22.0,1314.0,2254.0,0.00228310502283105,0.0013309671694764862,0.582963620230701
500240,147.0,180.0,2266.0,4435.0,0.0648720211827008,0.03314543404735062,0.5109357384441939
500260,117.0,321.0,1278.0,2540.0,0.09154929577464789,0.046062992125984255,0.5031496062992126
500270,19245.0,40855.0,72092.0,123115.0,0.26695056316928367,0.15631726434634285,0.5855663404134346
