ibge,nom_mun,cod_ibge,sigla_UF,cod_tse,nome_Municipio
1100015,Alta Floresta D'Oeste (RO),110001,RO,310,ALTA FLORESTA DO OESTE
1100023,Ariquemes (RO),110002,RO,78,ARIQUEMES
1100031,Cabixi (RO),110003,RO,450,CABIXI
1100049,Cacoal (RO),110004,RO,94,CACOAL
1100056,Cerejeiras (RO),110005,RO,272,CEREJEIRAS
1100064,Colorado do Oeste (RO),110006,RO,230,COLORADO DO OESTE
1100072,Corumbiara (RO),110007,RO,655,CORUMBIARA
1100080,Costa Marques (RO),110008,RO,213,COSTA MARQUES
1100098,EspigÃ£o D'Oeste (RO),110009,RO,256,ESPIGAO D'OESTE
1100106,GuajarÃ¡-Mirim (RO),110010,RO,19,GUAJARA MIRIM
1100114,Jaru (RO),110011,RO,159,JARU
1100122,Ji-ParanÃ¡ (RO),110012,RO,51,JI PARANA
1100130,Machadinho D'Oeste (RO),110013,RO,396,MACHADINHO DO OESTE
1100148,Nova BrasilÃ¢ndia D'Oeste (RO),110014,RO,370,NOVA BRASILANDIA
1100155,Ouro Preto do Oeste (RO),110015,RO,175,OURO PRETO DO OESTE
1100189,Pimenta Bueno (RO),110018,RO,116,PIMENTA BUENO
1100205,Porto Velho (RO),110020,RO,35,PORTO VELHO
1100254,Presidente MÃ©dici (RO),110025,RO,191,PRESIDENTE MEDICI
1100262,Rio Crespo (RO),110026,RO,647,RIO CRESPO
1100288,Rolim de Moura (RO),110028,RO,299,ROLIM DE MOURA
1100296,Santa Luzia D'Oeste (RO),110029,RO,353,SANTA LUZIA DO OESTE
1100304,Vilhena (RO),110030,RO,132,VILHENA
1100320,SÃ£o Miguel do GuaporÃ© (RO),110032,RO,418,SAO MIGUEL DO GUAPORE
1100338,Nova MamorÃ© (RO),110033,RO,434,NOVA MAMORE
1100346,Alvorada D'Oeste (RO),110034,RO,337,ALVORADA DO OESTE
1100379,Alto Alegre dos Parecis (RO),110037,RO,736,ALTO ALEGRE DOS PARECIS
1100403,Alto ParaÃ_so (RO),110040,RO,639,ALTO PARAISO
1100452,Buritis (RO),110045,RO,779,BURITIS
1100502,Novo Horizonte do Oeste (RO),110050,RO,515,NOVO HORIZONTE DO OESTE
1100601,CacaulÃ¢ndia (RO),110060,RO,620,CACAULANDIA
1100700,Campo Novo de RondÃ´nia (RO),110070,RO,671,CAMPO NOVO DE RONDONIA
1100809,Candeias do Jamari (RO),110080,RO,477,CANDEIAS DO JAMARI
1100908,Castanheiras (RO),110090,RO,531,CASTANHEIRAS
1100924,Chupinguaia (RO),110092,RO,809,CHUPINGUAIA
1100940,Cujubim (RO),110094,RO,680,CUJUBIM
1101005,Governador Jorge Teixeira (RO),110100,RO,612,GOVERNADOR JORGE TEIXEIRA
1101104,ItapuÃ£ do Oeste (RO),110110,RO,493,ITAPUA DO OESTE
1101203,Ministro Andreazza (RO),110120,RO,604,MINISTRO ANDREAZZA
1101302,Mirante da Serra (RO),110130,RO,574,MIRANTE DA SERRA
1101401,Monte Negro (RO),110140,RO,663,MONTE NEGRO
1101435,Nova UniÃ£o (RO),110143,RO,744,NOVA UNIAO
1101450,Parecis (RO),110145,RO,701,PARECIS
1101468,Pimenteiras do Oeste (RO),110146,RO,787,PIMENTEIRAS DO OESTE
1101476,Primavera de RondÃ´nia (RO),110147,RO,728,PRIMAVERA DE RONDONIA
1101484,SÃ£o Felipe D'Oeste (RO),110148,RO,710,SAO FELIPE D OESTE
1101492,SÃ£o Francisco do GuaporÃ© (RO),110149,RO,795,SAO FRANCISCO DO GUAPORE
1101500,Seringueiras (RO),110150,RO,582,SERINGUEIRAS
1101559,TeixeirÃ_polis (RO),110155,RO,752,TEIXEIROPOLIS
1101609,Theobroma (RO),110160,RO,590,THEOBROMA
1101708,UrupÃ¡ (RO),110170,RO,566,URUPA
1101757,Vale do Anari (RO),110175,RO,698,VALE DO ANARI
1101807,Vale do ParaÃ_so (RO),110180,RO,558,VALE DO PARAISO
1200013,AcrelÃ¢ndia (AC),120001,AC,1120,ACRELANDIA
1200054,Assis Brasil (AC),120005,AC,1570,ASSIS BRASIL
1200104,BrasilÃ©ia (AC),120010,AC,1058,BRASILEIA
1200138,Bujari (AC),120013,AC,1007,BUJARI
1200179,Capixaba (AC),120017,AC,1015,CAPIXABA
1200203,Cruzeiro do Sul (AC),120020,AC,1074,CRUZEIRO DO SUL
1200252,EpitaciolÃ¢ndia (AC),120025,AC,1112,EPITACIOLANDIA
1200302,FeijÃ_ (AC),120030,AC,1139,FEIJO
1200328,JordÃ£o (AC),120032,AC,1104,JORDAO
1200336,MÃ¢ncio Lima (AC),120033,AC,1090,MANCIO LIMA
1200344,Manoel Urbano (AC),120034,AC,1554,MANUEL URBANO
1200351,Marechal Thaumaturgo (AC),120035,AC,1040,MARECHAL THAUMATURGO
1200385,PlÃ¡cido de Castro (AC),120038,AC,1511,PLACIDO DE CASTRO
1200393,Porto Walter (AC),120039,AC,1066,PORTO WALTER
1200401,Rio Branco (AC),120040,AC,1392,RIO BRANCO
1200427,Rodrigues Alves (AC),120042,AC,1082,RODRIGUES ALVES
1200435,Santa Rosa do Purus (AC),120043,AC,1031,SANTA ROSA
1200450,Senador Guiomard (AC),120045,AC,1538,SENADOR GUIOMARD
1200500,Sena Madureira (AC),120050,AC,1457,SENA MADUREIRA
1200609,TarauacÃ¡ (AC),120060,AC,1473,TARAUACA
1200708,Xapuri (AC),120070,AC,1490,XAPURI
1200807,Porto Acre (AC),120080,AC,1023,PORTO ACRE
1300029,AlvarÃ£es (AM),130002,AM,2895,ALVARAES
1300060,AmaturÃ¡ (AM),130006,AM,2917,AMATURA
1300086,AnamÃ£ (AM),130008,AM,2933,ANAMA
1300102,Anori (AM),130010,AM,2038,ANORI
1300144,ApuÃ_ (AM),130014,AM,2003,APUI
1300201,Atalaia do Norte (AM),130020,AM,2054,ATALAIA DO NORTE
1300300,Autazes (AM),130030,AM,2070,AUTAZES
1300409,Barcelos (AM),130040,AM,2097,BARCELOS
1300508,Barreirinha (AM),130050,AM,2119,BARREIRINHA
1300607,Benjamin Constant (AM),130060,AM,2135,BENJAMIN CONSTANT
1300631,Beruri (AM),130063,AM,2950,BERURI
1300680,Boa Vista do Ramos (AM),130068,AM,2976,BOA VISTA DE RAMOS
1300706,Boca do Acre (AM),130070,AM,2151,BOCA DO ACRE
1300805,Borba (AM),130080,AM,2178,BORBA
1300839,Caapiranga (AM),130083,AM,2992,CAAPIRANGA
1300904,Canutama (AM),130090,AM,2194,CANUTAMA
1301001,Carauari (AM),130100,AM,2216,CARAUARI
1301100,Careiro (AM),130110,AM,2232,CAREIRO
1301159,Careiro da VÃ¡rzea (AM),130115,AM,2046,CAREIRO DA VARZEA
1301209,Coari (AM),130120,AM,2259,COARI
1301308,CodajÃ¡s (AM),130130,AM,2275,CODAJAS
1301407,EirunepÃ© (AM),130140,AM,2291,EIRUNEPE
1301506,Envira (AM),130150,AM,2313,ENVIRA
1301605,Fonte Boa (AM),130160,AM,2330,FONTE BOA
1301654,GuajarÃ¡ (AM),130165,AM,2020,GUAJARA
1301704,HumaitÃ¡ (AM),130170,AM,2356,HUMAITA
1301803,Ipixuna (AM),130180,AM,2399,IPIXUNA
1301852,Iranduba (AM),130185,AM,98353,IRANDUBA
1301902,Itacoatiara (AM),130190,AM,2410,ITACOATIARA
1301951,Itamarati (AM),130195,AM,98370,ITAMARATI
1302009,Itapiranga (AM),130200,AM,2437,ITAPIRANGA
1302108,JapurÃ¡ (AM),130210,AM,2453,JAPURA
1302207,JuruÃ¡ (AM),130220,AM,2470,JURUA
