cod_ibge,funcionarios_2015,funcionarios_estatutarios_2015
1100015,917,772
1100023,2560,2136
1100031,282,219
1100049,2075,1615
1100056,656,539
1100064,572,452
1100072,413,359
1100080,592,528
1100098,879,602
1100106,1310,994
1100114,1624,1073
1100122,3193,2252
1100130,1214,995
1100148,705,628
1100155,1365,1100
1100189,1141,0
1100205,13030,12151
1100254,705,510
1100262,283,202
1100288,1545,1381
1100296,388,318
1100304,2868,1994
1100320,883,757
1100338,1039,833
1100346,652,598
1100379,630,528
1100403,651,473
1100452,1190,817
1100502,413,342
1100601,314,267
1100700,574,475
1100809,834,587
1100908,300,195
1100924,578,417
1100940,574,382
1101005,499,387
1101104,457,356
1101203,401,343
1101302,437,405
1101401,638,406
1101435,315,266
1101450,283,254
1101468,246,168
1101476,259,246
1101484,321,222
1101492,659,457
1101500,590,515
1101559,274,208
1101609,578,422
1101708,391,364
1101757,341,312
1101807,495,387
1200013,431,0
1200054,309,0
1200104,873,0
1200138,NA,0
1200179,NA,0
1200203,3191,1605
1200252,NA,0
1200302,945,488
1200328,629,0
1200336,672,578
1200344,396,0
1200351,958,689
1200385,640,0
1200393,651,424
1200401,6309,3860
1200427,723,689
1200435,NA,0
1200450,853,614
1200500,1091,0
1200609,1122,693
1200708,NA,0
1200807,NA,303
1300029,805,432
1300060,506,259
1300086,484,261
1300102,461,330
1300144,650,423
1300201,1000,109
1300300,2031,876
1300409,818,566
1300508,1799,491
1300607,1992,773
1300631,1246,636
1300680,933,391
1300706,1431,834
1300805,1983,575
1300839,983,668
1300904,937,394
1301001,1030,692
1301100,1132,753
1301159,942,554
1301209,5249,2784
1301308,1077,532
1301407,1899,1161
1301506,928,492
1301605,1894,1053
1301654,791,472
1301704,1495,759
1301803,1120,283
1301852,2639,1791
1301902,4064,2296
1301951,832,307
1302009,513,183
1302108,849,463
1302207,838,280
1302306,567,435
1302405,1401,591
1302504,2324,1018
1302553,1018,533
1302603,32956,21136
1302702,1438,868
1302801,1637,193
1302900,2676,1160
1303007,848,455
1303106,1018,330
1303205,856,347
1303304,980,466
1303403,3495,1034
1303502,582,500
1303536,2489,1312
1303569,962,620
1303601,742,281
1303700,1211,661
1303809,1726,560
1303908,1275,630
1303957,271,117
1304005,413,256
1304062,1690,1350
1304104,1313,1055
1304203,3681,1049
1304237,1222,601
1304260,1183,279
1304302,986,470
1304401,617,417
1400027,570,62
1400050,795,544
1400100,8941,6203
1400159,500,323
1400175,707,447
1400209,1046,706
1400233,466,297
1400282,449,110
1400308,642,246
1400407,408,202
1400456,450,199
1400472,1350,758
1400506,489,301
1400605,352,174
1400704,172,25
1500107,5210,3632
1500131,402,267
1500206,2260,1984
1500305,2144,1403
1500347,706,305
1500404,2329,1502
1500503,2069,1645
1500602,3974,1417
1500701,1569,1457
1500800,11255,2682
1500859,1001,492
1500909,2163,1179
1500958,1423,515
1501006,799,654
1501105,1482,331
1501204,1908,1292
1501253,353,147
1501303,5303,4418
1501402,18773,14387
1501451,894,431
1501501,1893,275
1501576,618,437
1501600,503,294
1501709,3836,2294
1501725,1015,237
1501758,582,223
1501782,1831,1476
1501808,4146,2837
1501907,1462,771
1501956,1550,454
1502004,1164,651
1502103,4930,3863
1502152,2761,1623
1502202,1993,976
1502301,2229,244
1502400,7341,3998
1502509,805,243
1502608,538,361
1502707,1442,818
1502756,1357,1171
1502764,687,345
1502772,1048,580
1502806,1261,859
1502855,1011,817
1502905,1085,803
1502939,1678,1166
1502954,1609,572
1503002,680,560
1503044,1022,626
1503077,1675,921
1503093,1722,926
1503101,2002,1333
1503200,1201,731
1503309,3169,3091
1503408,541,280
1503457,2318,1112
1503507,1456,626
1503606,4721,4226
1503705,1880,953
1503754,1906,1059
1503804,2090,1210
1503903,2604,1742
1504000,1320,1007
1504059,2764,1677
1504109,605,143
1504208,9882,6961
1504307,1469,559
1504406,1490,805
1504422,6259,194
1504455,1048,709
1504505,1128,841
1504604,1290,884
1504703,2735,1445
1504752,819,195
1504802,2404,1667
1504901,1540,928
1504950,1098,331
1504976,642,311
1505007,693,406
1505031,1174,588
1505064,2768,2381
1505106,2685,1830
1505205,1601,1132
1505304,2772,2157
1505403,584,577
1505437,1299,751
1505486,1439,1322
