uf,ibge,nome_municipio,rede,ef2_rendimento_2005,ef2_rendimento_2007,ef2_rendimento_2009,ef2_rendimento_2011,ef2_rendimento_2013,ef2_rendimento_2015,ef2_notamedia_2005,ef2_notamedia_2007,ef2_notamedia_2009,ef2_notamedia_2011,ef2_notamedia_2013,ef2_notamedia_2015,ef2_ideb_2005,ef2_ideb_2007,ef2_ideb_2009,ef2_ideb_2011,ef2_ideb_2013,ef2_ideb_2015,ef2_meta_2007,ef2_meta_2009,ef2_meta_2011,ef2_meta_2013,ef2_meta_2015,ef2_meta_2017,ef2_meta_2019,ef2_meta_2021,ef2_ideb_cont_2005,ef2_ideb_cont_2007,ef2_ideb_cont_2009,ef2_ideb_cont_2011,ef2_ideb_cont_2013,ef2_ideb_cont_2015
RO,1100015,Alta Floresta D'Oeste,Estadual,0.76,0.67,0.73,0.79,0.80,0.86,4.62,4.84,4.44,4.17,4.84,4.96,3.5,3.3,3.2,3.3,3.9,4.2,3.5,3.7,4.0,4.4,4.8,5.0,5.3,5.5,3.513401834,3.258447899,3.233733306,3.312823776,3.887450157,4.247774274
RO,1100015,Alta Floresta D'Oeste,Municipal,0.78,,0.81,,,0.85,4.15,,,,,,3.2,,,,,,3.3,3.4,3.7,4.1,4.5,4.7,5.0,5.3,3.231096895,,,,,
RO,1100015,Alta Floresta D'Oeste,Pública,0.77,0.73,0.77,0.80,0.80,0.86,4.55,4.84,4.44,4.17,4.84,4.96,3.5,3.5,3.4,3.3,3.9,4.3,3.5,3.7,4.0,4.4,4.7,5.0,5.3,5.5,3.4999012,3.514542273,3.397127329,3.346309217,3.859080958,4.251345909
RO,1100023,Ariquemes,Estadual,0.79,0.73,0.78,0.82,0.86,0.80,4.62,4.18,4.59,4.80,5.03,5.30,3.6,3.1,3.6,3.9,4.3,4.3,3.7,3.8,4.1,4.5,4.9,5.1,5.4,5.6,3.646835548,3.068211279,3.601037833,3.927809045,4.316454825,4.261369738
RO,1100023,Ariquemes,Municipal,0.79,0.79,0.79,0.84,0.82,0.88,4.17,4.17,4.40,4.66,4.86,5.17,3.3,3.3,3.5,3.9,4.0,4.6,3.3,3.5,3.7,4.1,4.5,4.8,5.0,5.3,3.284208185,3.306952275,3.478822175,3.934396198,3.962431959,4.551473795
RO,1100023,Ariquemes,Pública,0.79,0.76,0.79,0.83,0.84,0.82,4.45,4.17,4.52,4.76,4.98,5.29,3.5,3.2,3.5,4.0,4.2,4.3,3.5,3.7,3.9,4.4,4.7,5.0,5.2,5.5,3.494045505,3.181299812,3.548834641,3.953443298,4.159641925,4.344649586
RO,1100031,Cabixi,Estadual,0.86,0.82,0.75,0.83,0.87,0.92,4.42,4.24,4.19,4.82,4.76,4.73,3.8,3.5,3.2,4.0,4.1,4.3,3.8,4.0,4.2,4.6,5.0,5.3,5.5,5.8,3.786582201,3.486618712,3.159943564,3.981395315,4.132026144,4.335611836
RO,1100031,Cabixi,Pública,0.86,0.82,0.75,0.83,0.87,0.92,4.42,4.24,4.19,4.82,4.76,4.73,3.8,3.5,3.2,4.0,4.1,4.3,3.8,4.0,4.2,4.6,5.0,5.3,5.5,5.8,3.786606882,3.486618712,3.159943564,3.981395315,4.132026144,4.335611836
RO,1100049,Cacoal,Estadual,0.76,0.74,0.76,0.77,0.87,0.88,4.59,4.39,4.69,5.11,5.07,5.22,3.5,3.2,3.6,3.9,4.4,4.6,3.5,3.7,3.9,4.3,4.7,5.0,5.2,5.5,3.488019041,3.249100411,3.564306585,3.947297922,4.422236466,4.573392657
RO,1100049,Cacoal,Municipal,0.81,0.88,0.83,0.90,0.96,0.94,4.25,4.47,4.15,5.15,4.35,4.85,3.5,3.9,3.4,4.7,4.2,4.5,3.5,3.6,3.9,4.3,4.7,4.9,5.2,5.5,3.452840759,3.937754618,3.433946854,4.660672653,4.159683929,4.546059459
RO,1100049,Cacoal,Pública,0.78,0.79,0.78,0.81,0.89,0.89,4.58,4.39,4.65,5.11,5.02,5.18,3.6,3.5,3.6,4.1,4.5,4.6,3.6,3.7,4.0,4.4,4.8,5.1,5.3,5.6,3.562877185,3.465678835,3.622955215,4.135369877,4.490019778,4.630726246
RO,1100056,Cerejeiras,Estadual,0.75,0.79,0.78,0.71,0.74,0.83,4.74,4.66,4.85,4.83,4.90,4.93,3.5,3.7,3.8,3.4,3.6,4.1,3.6,3.7,4.0,4.4,4.8,5.0,5.3,5.5,3.541280815,3.707573321,3.781363044,3.406475654,3.602434722,4.067333906
RO,1100056,Cerejeiras,Municipal,,0.81,0.74,0.82,0.75,0.68,,4.58,,5.02,4.62,,,3.7,,4.1,3.5,,,3.8,4.0,4.4,4.7,5.0,5.2,5.5,,3.721491345,,4.124021905,3.482022394,
RO,1100056,Cerejeiras,Pública,0.76,0.80,0.77,0.74,0.74,0.81,4.74,4.66,4.85,4.85,4.87,4.93,3.6,3.7,3.7,3.6,3.6,4.0,3.6,3.8,4.1,4.5,4.8,5.1,5.4,5.6,3.612281679,3.727721901,3.729041381,3.579831923,3.609296739,3.983712159
RO,1100064,Colorado do Oeste,Estadual,0.80,0.83,0.75,0.72,0.72,0.86,4.79,5.00,4.92,4.89,5.00,5.33,3.8,4.1,3.7,3.5,3.6,4.6,3.9,4.0,4.3,4.7,5.1,5.3,5.6,5.8,3.844673542,4.129642706,3.674044069,3.527781606,3.608358241,4.558899701
RO,1100064,Colorado do Oeste,Pública,0.83,0.85,0.79,0.78,0.78,0.87,4.79,5.00,4.92,4.89,5.00,5.33,4.0,4.3,3.9,3.8,3.9,4.6,4.0,4.1,4.4,4.8,5.2,5.4,5.7,5.9,3.959018717,4.263855162,3.878024755,3.793814768,3.889329967,4.648815081
RO,1100072,Corumbiara,Estadual,0.75,0.68,0.83,0.82,0.92,0.83,4.38,4.90,5.21,5.04,5.08,5.39,3.3,3.3,4.3,4.1,4.7,4.5,3.3,3.5,3.7,4.1,4.5,4.8,5.0,5.3,3.283447295,3.348938776,4.310861163,4.106084866,4.694462465,4.471774277
RO,1100072,Corumbiara,Pública,0.76,0.78,0.85,0.80,0.85,0.82,4.38,4.90,5.21,5.04,5.08,5.39,3.3,3.8,4.4,4.0,4.3,4.4,3.4,3.5,3.8,4.2,4.6,4.8,5.1,5.3,3.331122827,3.813557804,4.41802331,4.040542804,4.317486239,4.405874654
RO,1100080,Costa Marques,Estadual,0.74,0.82,0.68,0.78,0.72,0.80,4.44,4.24,4.26,4.61,3.89,,3.3,3.5,2.9,3.6,2.8,,3.3,3.5,3.7,4.1,4.5,4.8,5.0,5.3,3.274460141,3.489718608,2.908285392,3.590647326,2.80664036,
RO,1100080,Costa Marques,Pública,0.69,0.81,0.73,0.77,0.67,0.79,4.44,4.24,4.26,4.61,3.89,,3.1,3.4,3.1,3.5,2.6,,3.1,3.2,3.5,3.9,4.3,4.6,4.8,5.1,3.068408841,3.420566003,3.130112609,3.541064318,2.599935229,
