cod_mun,internet_2012,radio_am_2012,radio_fm_2012,radio_comun_2012,geradora_tv_2012
110001,1,0,1,1,0
110002,1,1,1,1,1
110003,1,0,0,1,0
110004,1,1,1,1,0
110005,1,0,0,0,0
110006,1,1,1,1,0
110007,1,0,1,1,0
110008,1,0,0,0,0
110009,1,1,1,1,0
110010,1,1,1,1,1
110011,1,0,1,1,0
110012,1,1,1,1,1
110013,0,0,1,1,0
110014,0,0,1,0,0
110015,1,0,1,1,0
110018,1,1,1,1,1
110020,1,1,1,1,1
110025,1,0,1,1,1
110026,0,0,0,0,0
110028,1,1,1,1,1
110029,0,1,1,1,0
110030,1,1,1,0,1
110032,0,1,0,0,0
110033,1,0,0,1,0
110034,1,0,1,0,0
110037,1,0,0,0,1
110040,1,0,1,1,1
110045,1,0,1,0,0
110050,1,0,1,1,0
110060,0,0,0,0,0
110070,1,0,0,0,0
110080,0,1,1,1,0
110090,0,1,1,1,0
110092,1,0,0,1,0
110094,1,1,1,0,1
110100,1,0,0,1,0
110110,1,0,0,1,0
110120,1,0,0,0,0
110130,0,0,1,1,0
110140,1,0,0,0,0
110143,0,0,0,1,0
110145,0,0,0,0,0
110146,1,0,0,0,0
110147,0,0,0,0,0
110148,0,0,0,1,0
110149,1,0,0,0,0
110150,1,0,0,1,1
110155,1,0,0,0,0
110160,1,0,0,0,0
110170,1,1,0,1,0
110175,1,0,1,1,0
110180,1,0,0,1,0
120001,1,0,1,0,1
120005,0,0,0,0,0
120010,1,0,1,0,1
120013,1,0,0,1,0
120017,0,0,1,1,0
120020,1,1,1,0,1
120025,1,0,1,0,0
120030,1,1,1,1,0
120032,1,1,1,0,0
120033,1,0,0,0,0
120034,1,0,0,1,1
120035,1,0,1,0,1
120038,0,1,1,1,0
120039,0,0,1,0,0
120040,1,1,1,1,1
120042,1,0,0,0,1
120043,1,0,0,0,1
120045,0,0,1,1,0
120050,0,0,0,1,1
120060,1,1,1,1,0
120070,1,1,1,1,1
120080,1,0,1,0,0
130002,1,0,1,0,1
130006,0,0,0,1,1
130008,1,0,0,1,0
130010,1,0,1,1,0
130014,1,0,0,0,1
130020,1,0,1,0,1
130030,1,1,1,0,1
130040,0,0,0,1,0
130050,1,1,0,1,1
130060,1,1,1,1,1
130063,1,0,0,0,0
130068,1,0,1,1,0
130070,1,1,1,0,0
130080,0,0,0,1,1
130083,0,0,0,0,0
130090,1,0,0,1,1
130100,0,0,0,1,0
130110,1,0,1,0,1
130115,0,0,0,0,0
130120,1,1,1,1,0
130130,0,0,1,0,0
130140,1,0,0,1,0
130150,1,1,1,1,1
130160,1,1,1,1,1
130165,1,0,0,0,0
130170,1,1,1,1,0
130180,0,0,1,0,0
130185,1,0,1,1,0
130190,1,1,1,1,1
130195,0,0,0,0,0
130200,0,0,0,1,1
130210,0,0,0,0,0
130220,1,0,0,1,0
130230,1,0,0,1,0
130240,1,1,1,0,0
130250,0,1,1,1,1
130255,1,1,0,0,0
130260,1,1,1,0,0
130270,1,1,0,0,1
130280,1,0,1,1,0
130290,0,1,1,0,1
130300,1,0,1,1,0
130310,0,0,0,1,1
130320,1,0,0,0,1
130330,1,0,1,1,1
130340,1,1,1,1,1
130350,1,0,0,0,1
130353,1,0,1,0,1
130356,1,1,1,1,1
130360,1,0,0,0,0
130370,1,1,1,1,1
130380,1,1,1,0,1
130390,1,0,0,0,1
130395,1,0,0,0,0
130400,0,0,0,0,1
130406,1,0,1,0,1
130410,0,0,1,1,0
130420,1,1,1,0,1
130423,1,0,0,1,1
130426,0,0,0,0,1
130430,0,0,1,1,0
130440,0,0,0,0,1
140002,0,0,0,0,1
140005,0,0,0,0,0
140010,1,1,1,0,0
140015,1,0,0,0,0
140017,0,0,0,0,0
140020,1,1,1,0,0
140023,1,0,0,0,0
140028,0,0,0,1,1
140030,0,0,0,1,0
140040,1,0,0,0,1
140045,0,0,0,0,0
140047,1,0,1,1,1
140050,0,0,0,1,0
140060,0,0,0,0,0
140070,1,0,0,0,0
150010,1,0,1,1,1
150013,1,0,0,1,0
150020,0,0,0,0,0
150030,1,0,0,1,1
150034,1,0,0,1,0
150040,1,1,1,1,1
150050,1,0,1,0,0
150060,1,0,1,0,1
150070,0,0,0,1,0
150080,0,1,1,1,0
150085,1,0,1,1,0
150090,1,0,1,1,1
150095,0,0,0,0,0
150100,1,0,1,1,0
150110,0,0,0,0,0
150120,1,0,0,1,0
150125,0,0,0,1,0
150130,1,0,1,0,0
150140,1,1,1,1,1
150145,0,0,1,1,0
150150,0,0,1,1,0
150157,1,0,1,1,0
150160,0,0,0,1,0
150170,1,1,1,0,1
150172,0,0,1,0,1
150175,0,0,1,1,0
150178,0,0,0,0,0
150180,1,1,1,1,1
150190,0,0,0,0,0
150195,1,0,0,1,0
150200,0,0,0,0,0
150210,1,1,1,1,1
150215,1,0,1,1,0
150220,1,0,1,1,1
150230,1,0,0,1,0
150240,1,1,1,1,1
150250,0,0,0,0,0
150260,0,0,0,1,0
150270,1,1,1,1,1
150275,1,0,1,1,0
150276,0,0,1,0,1
150277,1,0,1,0,1
150280,1,0,1,1,1
150285,0,0,0,0,0
150290,1,0,1,1,0
150293,1,0,0,1,1
150295,0,0,1,0,0
150300,0,0,0,1,0
150304,1,0,1,1,0
150307,0,0,0,1,0
150309,1,0,0,1,0
150310,0,0,1,1,1
150320,1,0,0,1,0
150330,1,0,1,1,1
150340,0,0,0,0,0
150345,1,0,1,0,0
150350,1,0,0,1,0
150360,1,1,1,1,1
150370,0,1,1,1,0
150375,1,0,0,1,0
150380,1,0,1,1,1
150390,0,0,0,0,0
150400,0,0,0,1,0
150405,1,0,1,1,0
150410,0,0,0,1,0
150420,0,0,0,0,0
150430,0,0,0,1,0
150440,1,0,1,1,1
150442,1,1,0,1,0
150445,1,0,1,1,1
150450,1,0,0,0,1
150460,0,0,1,1,1
150470,1,0,0,1,0
150480,1,0,1,1,0
150490,0,0,0,1,0
150495,0,0,0,1,0
150497,0,0,0,0,0
150500,1,0,1,0,0
150503,1,1,1,1,0
150506,1,0,0,1,0
150510,1,1,0,1,1
150520,1,0,1,1,0
150530,1,0,1,1,0
150540,1,0,0,1,0
150543,1,0,0,1,1
150548,1,0,0,1,0
150549,1,0,1,0,0
150550,1,1,1,0,1
150553,1,1,1,1,1
150555,1,0,0,0,0
150560,1,0,0,0,0
150563,0,0,0,0,0
150565,1,1,1,1,0
150570,1,0,0,1,0
150580,1,0,1,1,1
150590,1,0,1,0,0
150600,0,0,0,0,0
150610,0,0,0,0,0
150611,0,0,0,0,0
150613,1,1,1,1,1
150616,1,0,1,0,1
150618,1,0,1,1,1
150619,1,0,1,1,0
150620,0,0,0,1,0
150630,1,0,0,1,0
150635,0,0,1,1,0
150640,0,0,0,1,0
150650,1,0,0,1,0
150655,1,0,0,1,0
150658,0,0,0,1,0
150660,1,0,0,0,0
150670,1,0,1,1,1
150680,1,1,1,0,1
150690,1,0,0,0,0
150700,0,0,0,0,0
150710,0,0,0,0,0
150715,0,0,0,0,0
150720,1,0,0,1,0
150730,1,0,1,0,0
150740,0,0,0,0,0
150745,1,0,0,1,0
150746,1,0,0,0,0
150747,0,0,0,1,0
150750,0,0,0,0,0
150760,0,0,0,1,1
150770,0,0,0,0,0
150775,1,0,0,1,0
150780,1,0,0,0,1
150790,1,1,1,0,0
150795,0,0,0,0,1
150796,1,0,0,0,0
150797,1,0,1,1,0
150800,1,0,1,1,0
150803,0,0,0,0,0
150805,1,1,0,0,0
150808,1,0,1,1,1
150810,1,1,1,1,1
150812,1,0,0,1,0
150815,1,1,1,1,1
150820,1,0,1,1,0
150830,1,0,0,1,0
150835,0,0,0,1,1
150840,1,1,1,1,1
160005,0,0,1,1,0
160010,1,0,0,1,1
160015,0,0,1,1,0
160020,1,0,1,1,0
160021,1,0,0,1,0
160023,0,0,0,1,0
160025,0,0,0,1,0
160027,1,0,1,1,0
160030,1,1,1,1,1
160040,1,1,0,1,0
160050,1,0,1,1,0
160053,0,0,1,1,0
160055,1,0,0,1,0
160060,1,1,1,1,1
160070,1,0,0,1,1
160080,1,0,0,1,0
170025,0,0,0,0,0
170030,1,0,0,0,0
170035,0,0,1,1,0
170040,0,0,1,0,0
170070,0,0,0,0,0
170100,1,0,0,1,0
170105,0,0,0,0,0
170110,0,0,1,0,0
170130,0,0,0,0,0
170190,0,0,1,1,0
170200,0,0,1,0,0
170210,1,1,1,1,1
170215,0,0,0,0,0
170220,0,0,0,1,0
170230,0,0,1,0,0
170240,0,0,0,1,0
170255,0,0,0,0,0
170270,0,0,0,0,0
170290,0,0,1,0,0
170300,0,0,0,1,0
170305,0,0,0,0,0
170307,0,0,0,0,0
170310,0,0,0,1,0
170320,0,0,0,1,0
170330,0,0,0,0,0
170360,0,0,0,0,0
170370,0,0,0,0,0
170380,0,0,0,1,0
170382,0,0,0,0,0
170384,1,0,0,1,0
170386,1,0,0,0,0
