cod_ibge,enrolment_pvt_ef1_2012,enrolment_pvt_2012,enrolment_mun_ef1_2012,enrolment_total_ef1_2012,ratio_enrolment_pvt_mun_2012,share_enrolment_pvt_2012,share_enrolment_mun_2012
500020,39.0,61.0,2029.0,2895.0,0.019221291276490884,0.013471502590673576,0.7008635578583765
500025,12.0,19.0,518.0,736.0,0.023166023166023165,0.016304347826086956,0.7038043478260869
500060,165.0,449.0,4126.0,6550.0,0.03999030538051381,0.025190839694656488,0.6299236641221374
500070,26.0,52.0,1204.0,3717.0,0.02159468438538206,0.006994888350820554,0.3239171374764595
500080,0.0,22.0,503.0,1423.0,0.0,0.0,0.35347856640899505
500085,27.0,33.0,694.0,1576.0,0.03890489913544669,0.01713197969543147,0.4403553299492386
500090,32.0,55.0,693.0,1763.0,0.046176046176046176,0.018150879183210438,0.39307997731140104
500100,130.0,315.0,1075.0,3438.0,0.12093023255813953,0.03781268179173938,0.3126817917393834
500110,911.0,1635.0,3411.0,8456.0,0.267077103488713,0.1077341532639546,0.4033822138126774
500124,0.0,13.0,975.0,2142.0,0.0,0.0,0.45518207282913165
500150,15.0,18.0,532.0,1093.0,0.02819548872180451,0.013723696248856358,0.4867337602927722
500190,213.0,701.0,1018.0,3524.0,0.20923379174852652,0.060442678774120316,0.2888762769580023
500200,56.0,59.0,549.0,1951.0,0.10200364298724955,0.028703229113275244,0.2813941568426448
500210,364.0,594.0,2289.0,4522.0,0.15902140672782875,0.0804953560371517,0.5061919504643962
500215,0.0,0.0,785.0,1446.0,0.0,0.0,0.5428769017980636
500220,406.0,623.0,1991.0,3814.0,0.20391762933199398,0.10644992134242265,0.5220241216570529
500230,0.0,3.0,1343.0,2143.0,0.0,0.0,0.626691553896407
500240,129.0,167.0,2458.0,4846.0,0.052481692432872255,0.02661989269500619,0.507222451506397
500260,153.0,364.0,1002.0,2208.0,0.15269461077844312,0.06929347826086957,0.453804347826087
500270,19484.0,43336.0,72643.0,120093.0,0.2682157950525171,0.16224092994595854,0.6048895439367823
500280,0.0,0.0,665.0,1016.0,0.0,0.0,0.6545275590551181
500290,527.0,813.0,1607.0,3186.0,0.327940261356565,0.16541117388575016,0.5043942247332078
500295,429.0,704.0,2283.0,3485.0,0.18791064388961892,0.1230989956958393,0.6550932568149211
500310,0.0,1.0,569.0,884.0,0.0,0.0,0.6436651583710408
500315,82.0,109.0,2532.0,3866.0,0.03238546603475513,0.021210553543714435,0.6549405069839628
500320,2584.0,4959.0,10721.0,19789.0,0.24102229269657682,0.13057759361261306,0.5417656273687402
500325,216.0,306.0,2045.0,3392.0,0.10562347188264058,0.06367924528301887,0.6028891509433962
500330,401.0,657.0,1360.0,5221.0,0.2948529411764706,0.07680520972993679,0.2604864968396859
500345,35.0,84.0,110.0,1946.0,0.3181818181818182,0.017985611510791366,0.0565262076053443
500348,0.0,20.0,1319.0,1890.0,0.0,0.0,0.6978835978835979
500350,0.0,0.0,450.0,980.0,0.0,0.0,0.45918367346938777
500370,3962.0,9816.0,19467.0,33452.0,0.20352391226177635,0.1184383594403922,0.5819382996532345
500375,108.0,134.0,783.0,2084.0,0.13793103448275862,0.05182341650671785,0.3757197696737044
500380,237.0,391.0,708.0,2655.0,0.3347457627118644,0.08926553672316384,0.26666666666666666
500390,0.0,0.0,229.0,395.0,0.0,0.0,0.579746835443038
500400,137.0,160.0,440.0,1431.0,0.31136363636363634,0.0957372466806429,0.3074772886093641
500410,52.0,58.0,970.0,1880.0,0.05360824742268041,0.027659574468085105,0.5159574468085106
500430,99.0,152.0,924.0,2591.0,0.10714285714285714,0.03820918564260903,0.3566190659976843
500440,25.0,40.0,418.0,1159.0,0.05980861244019139,0.021570319240724764,0.36065573770491804
500450,115.0,275.0,677.0,2560.0,0.16986706056129985,0.044921875,0.264453125
500460,46.0,353.0,2102.0,3567.0,0.021883920076117985,0.012895991028875805,0.5892907204934118
500470,152.0,313.0,868.0,3440.0,0.17511520737327188,0.044186046511627906,0.25232558139534883
500480,0.0,0.0,1521.0,1890.0,0.0,0.0,0.8047619047619048
500490,0.0,0.0,411.0,809.0,0.0,0.0,0.5080346106304079
500500,404.0,691.0,2941.0,4499.0,0.13736824209452567,0.08979773282951767,0.6537008224049788
500510,0.0,0.0,165.0,663.0,0.0,0.0,0.248868778280543
500515,0.0,0.0,649.0,1237.0,0.0,0.0,0.5246564268391269
500520,294.0,411.0,2406.0,3790.0,0.12219451371571072,0.07757255936675461,0.6348284960422164
500525,0.0,7.0,1066.0,1190.0,0.0,0.0,0.8957983193277311
500540,708.0,1580.0,3386.0,6302.0,0.2090962787950384,0.1123452872104094,0.537289749285941
500560,794.0,2216.0,3174.0,5215.0,0.25015752993068685,0.15225311601150526,0.6086289549376798
500568,322.0,516.0,622.0,2730.0,0.5176848874598071,0.11794871794871795,0.22783882783882783
500570,473.0,976.0,4133.0,7423.0,0.1144447132833293,0.06372086757375724,0.5567829718442678
500580,0.0,29.0,1927.0,2775.0,0.0,0.0,0.6944144144144144
500600,0.0,109.0,2081.0,3141.0,0.0,0.0,0.6625278573702642
500620,595.0,1359.0,3731.0,7139.0,0.15947467166979362,0.08334500630340384,0.5226222159966382
