"","election_year","cod_ibge"
"1",2008,110005
"2",2008,110012
"3",2008,110014
"4",2008,110018
"5",2008,110026
"6",2008,110028
"7",2008,110033
"8",2008,110037
"9",2008,110092
"10",2008,110130
"11",2008,110147
"12",2008,110150
"13",2008,110170
"14",2008,120010
"15",2008,120025
"16",2008,120040
"17",2008,130063
"18",2008,130080
"19",2008,130165
"20",2008,130185
"21",2008,130240
"22",2008,130320
"23",2008,130356
"24",2008,130370
"25",2008,130406
"26",2008,130426
"27",2008,130430
"28",2008,140050
"29",2008,150010
"30",2008,150040
"31",2008,150150
"32",2008,150170
"33",2008,150195
"34",2008,150220
"35",2008,150230
"36",2008,150260
"37",2008,150270
"38",2008,150275
"39",2008,150300
"40",2008,150320
"41",2008,150340
"42",2008,150540
"43",2008,150715
"44",2008,150790
"45",2008,150796
"46",2008,160020
"47",2008,160050
"48",2008,160080
"49",2008,170215
"50",2008,170310
"51",2008,170320
"52",2008,170330
"53",2008,170370
"54",2008,170386
"55",2008,170550
"56",2008,170600
"57",2008,170650
"58",2008,170700
"59",2008,170720
"60",2008,170730
"61",2008,170755
"62",2008,170765
"63",2008,170900
"64",2008,170930
"65",2008,171050
"66",2008,171250
"67",2008,171510
"68",2008,171575
"69",2008,171630
"70",2008,171660
"71",2008,171820
"72",2008,171886
"73",2008,172025
"74",2008,172090
"75",2008,210055
"76",2008,210150
"77",2008,210193
"78",2008,210260
"79",2008,210275
"80",2008,210440
"81",2008,210720
"82",2008,210730
"83",2008,210905
"84",2008,211163
"85",2008,220170
"86",2008,220515
"87",2008,220520
"88",2008,220554
"89",2008,220855
"90",2008,221080
"91",2008,230090
"92",2008,230330
"93",2008,230680
"94",2008,231310
"95",2008,240040
"96",2008,240200
"97",2008,240210
"98",2008,240250
"99",2008,240320
"100",2008,240910
"101",2008,240920
"102",2008,241020
"103",2008,241070
"104",2008,241390
"105",2008,250050
"106",2008,250110
"107",2008,250150
"108",2008,250200
"109",2008,250240
"110",2008,250280
"111",2008,250340
"112",2008,250400
"113",2008,250480
"114",2008,250530
"115",2008,250700
"116",2008,250720
"117",2008,250740
"118",2008,250790
"119",2008,250900
"120",2008,251365
"121",2008,251500
"122",2008,251520
"123",2008,260110
"124",2008,260120
"125",2008,260240
"126",2008,260270
"127",2008,260345
"128",2008,260460
"129",2008,260580
"130",2008,260660
"131",2008,260700
"132",2008,260775
"133",2008,260795
"134",2008,260890
"135",2008,260930
"136",2008,261520
"137",2008,261540
"138",2008,261550
"139",2008,261600
"140",2008,270135
"141",2008,270490
"142",2008,270590
"143",2008,270640
"144",2008,280070
"145",2008,280200
"146",2008,280250
"147",2008,280340
"148",2008,280570
"149",2008,280660
"150",2008,280690
"151",2008,290020
"152",2008,290180
"153",2008,290190
"154",2008,290510
"155",2008,290630
"156",2008,290682
"157",2008,290760
"158",2008,290810
"159",2008,290820
"160",2008,290850
"161",2008,291250
"162",2008,291330
"163",2008,291870
"164",2008,291990
"165",2008,292170
"166",2008,292310
"167",2008,292320
"168",2008,292340
"169",2008,292370
"170",2008,292390
"171",2008,292400
"172",2008,292750
"173",2008,292925
"174",2008,292935
"175",2008,293120
"176",2008,293140
"177",2008,293180
"178",2008,293200
"179",2008,293340
"180",2008,310040
"181",2008,310163
"182",2008,310205
"183",2008,310230
"184",2008,310260
"185",2008,310290
"186",2008,310330
"187",2008,310430
"188",2008,310450
"189",2008,310460
"190",2008,310500
"191",2008,310590
"192",2008,310640
"193",2008,310680
"194",2008,310700
"195",2008,310710
"196",2008,310740
"197",2008,310760
"198",2008,310810
"199",2008,310830
"200",2008,310940
"201",2008,310950
"202",2008,310970
"203",2008,311000
"204",2008,311030
"205",2008,311040
"206",2008,311070
"207",2008,311090
"208",2008,311115
"209",2008,311160
"210",2008,311180
"211",2008,311200
"212",2008,311310
"213",2008,311330
"214",2008,311360
"215",2008,311440
"216",2008,311450
"217",2008,311455
"218",2008,311510
"219",2008,311520
"220",2008,311550
"221",2008,311640
"222",2008,311650
"223",2008,311710
"224",2008,311770
"225",2008,311787
"226",2008,311840
"227",2008,311900
"228",2008,311970
"229",2008,311990
"230",2008,312120
"231",2008,312200
"232",2008,312310
"233",2008,312380
"234",2008,312390
"235",2008,312410
"236",2008,312460
"237",2008,312470
"238",2008,312490
"239",2008,312570
"240",2008,312735
"241",2008,312825
"242",2008,312840
"243",2008,312860
"244",2008,312880
"245",2008,312910
"246",2008,312930
"247",2008,312950
"248",2008,312970
"249",2008,312990
"250",2008,313005
"251",2008,313010
"252",2008,313040
"253",2008,313150
"254",2008,313160
"255",2008,313200
"256",2008,313310
"257",2008,313340
"258",2008,313360
"259",2008,313460
"260",2008,313480
"261",2008,313505
"262",2008,313657
"263",2008,313690
"264",2008,313710
"265",2008,313720
"266",2008,313753
"267",2008,313780
"268",2008,313862
"269",2008,313870
"270",2008,313900
"271",2008,313910
"272",2008,314015
"273",2008,314030
"274",2008,314053
"275",2008,314080
"276",2008,314150
"277",2008,314170
"278",2008,314190
"279",2008,314437
"280",2008,314450
"281",2008,314470
"282",2008,314490
"283",2008,314500
"284",2008,314510
"285",2008,314625
"286",2008,314655
"287",2008,314660
"288",2008,314690
"289",2008,314795
"290",2008,314870
"291",2008,314950
"292",2008,314980
"293",2008,315000
"294",2008,315015
"295",2008,315030
"296",2008,315050
"297",2008,315057
"298",2008,315090
"299",2008,315120
"300",2008,315150
"301",2008,315217
"302",2008,315280
"303",2008,315390
"304",2008,315540
"305",2008,315750
"306",2008,315765
"307",2008,315920
"308",2008,315960
"309",2008,315990
"310",2008,316010
"311",2008,316095
"312",2008,316105
"313",2008,316140
"314",2008,316200
"315",2008,316230
"316",2008,316255
"317",2008,316290
"318",2008,316292
"319",2008,316320
"320",2008,316390
"321",2008,316430
"322",2008,316510
"323",2008,316540
"324",2008,316680
"325",2008,316780
"326",2008,316790
"327",2008,316800
"328",2008,316805
"329",2008,316980
"330",2008,317000
"331",2008,317050
"332",2008,317080
"333",2008,317107
"334",2008,317115
"335",2008,320070
"336",2008,320250
"337",2008,320265
"338",2008,320270
"339",2008,320280
"340",2008,320310
"341",2008,320334
"342",2008,320335
"343",2008,330022
"344",2008,330110
"345",2008,330160
"346",2008,330280
"347",2008,330300
"348",2008,330410
"349",2008,330411
"350",2008,330513
"351",2008,330620
"352",2008,350055
"353",2008,350120
"354",2008,350210
"355",2008,350230
"356",2008,350270
"357",2008,350310
"358",2008,350380
"359",2008,350390
"360",2008,350400
"361",2008,350430
"362",2008,350450
"363",2008,350480
"364",2008,350500
"365",2008,350510
"366",2008,350530
"367",2008,350550
"368",2008,350610
"369",2008,350630
"370",2008,350650
"371",2008,350710
"372",2008,350715
"373",2008,350770
"374",2008,350830
"375",2008,350860
"376",2008,350920
"377",2008,350930
"378",2008,351000
"379",2008,351010
"380",2008,351030
"381",2008,351070
"382",2008,351140
"383",2008,351210
"384",2008,351230
"385",2008,351250
"386",2008,351260
"387",2008,351360
"388",2008,351470
"389",2008,351490
"390",2008,351515
"391",2008,351519
"392",2008,351570
"393",2008,351590
"394",2008,351630
"395",2008,351690
"396",2008,351710
"397",2008,351780
"398",2008,351850
"399",2008,351907
"400",2008,351910
"401",2008,351990
"402",2008,352030
"403",2008,352110
"404",2008,352120
"405",2008,352140
"406",2008,352150
"407",2008,352180
"408",2008,352220
"409",2008,352230
"410",2008,352280
"411",2008,352300
"412",2008,352310
"413",2008,352370
"414",2008,352400
"415",2008,352420
"416",2008,352450
"417",2008,352560
"418",2008,352600
"419",2008,352610
"420",2008,352620
"421",2008,352630
"422",2008,352660
"423",2008,352790
"424",2008,352800
"425",2008,352880
"426",2008,352900
"427",2008,352950
"428",2008,353010
"429",2008,353090
"430",2008,353190
"431",2008,353210
"432",2008,353240
"433",2008,353260
"434",2008,353280
"435",2008,353300
"436",2008,353400
"437",2008,353440
"438",2008,353460
"439",2008,353530
"440",2008,353540
"441",2008,353630
"442",2008,353640
"443",2008,353670
"444",2008,353710
"445",2008,353720
"446",2008,353780
"447",2008,353790
"448",2008,353800
"449",2008,353850
"450",2008,353870
"451",2008,353880
"452",2008,354025
"453",2008,354030
"454",2008,354060
"455",2008,354075
"456",2008,354130
"457",2008,354160
"458",2008,354180
"459",2008,354260
"460",2008,354300
"461",2008,354350
"462",2008,354360
"463",2008,354370
"464",2008,354390
"465",2008,354425
"466",2008,354430
"467",2008,354460
"468",2008,354510
"469",2008,354520
"470",2008,354630
"471",2008,354730
"472",2008,354780
"473",2008,354810
"474",2008,354860
"475",2008,354870
"476",2008,354910
"477",2008,354920
"478",2008,354950
"479",2008,354995
"480",2008,355020
"481",2008,355070
"482",2008,355110
"483",2008,355130
"484",2008,355140
"485",2008,355230
"486",2008,355270
"487",2008,355310
"488",2008,355320
"489",2008,355350
"490",2008,355380
"491",2008,355420
"492",2008,355465
"493",2008,355500
"494",2008,355510
"495",2008,355550
"496",2008,355660
"497",2008,355690
"498",2008,410030
"499",2008,410060
"500",2008,410150
"501",2008,410200
"502",2008,410240
"503",2008,410300
"504",2008,410304
"505",2008,410305
"506",2008,410310
"507",2008,410330
"508",2008,410350
"509",2008,410360
"510",2008,410395
"511",2008,410400
"512",2008,410420
"513",2008,410425
"514",2008,410445
"515",2008,410460
"516",2008,410465
"517",2008,410500
"518",2008,410540
"519",2008,410560
"520",2008,410580
"521",2008,410600
"522",2008,410620
"523",2008,410640
"524",2008,410650
"525",2008,410700
"526",2008,410712
"527",2008,410715
"528",2008,410750
"529",2008,410760
"530",2008,410800
"531",2008,410850
"532",2008,410865
"533",2008,410870
"534",2008,410900
"535",2008,410975
"536",2008,410980
"537",2008,410990
"538",2008,411007
"539",2008,411080
"540",2008,411120
"541",2008,411130
"542",2008,411140
"543",2008,411160
"544",2008,411190
"545",2008,411220
"546",2008,411230
"547",2008,411340
"548",2008,411380
"549",2008,411400
"550",2008,411430
"551",2008,411435
"552",2008,411530
"553",2008,411690
"554",2008,411770
"555",2008,411810
"556",2008,411830
"557",2008,411885
"558",2008,411890
"559",2008,411920
"560",2008,411925
"561",2008,411950
"562",2008,411990
"563",2008,412010
"564",2008,412015
"565",2008,412030
"566",2008,412040
"567",2008,412060
"568",2008,412090
"569",2008,412120
"570",2008,412130
"571",2008,412135
"572",2008,412140
"573",2008,412150
"574",2008,412200
"575",2008,412215
"576",2008,412260
"577",2008,412265
"578",2008,412270
"579",2008,412320
"580",2008,412330
"581",2008,412340
"582",2008,412350
"583",2008,412360
"584",2008,412380
"585",2008,412390
"586",2008,412510
"587",2008,412520
"588",2008,412540
"589",2008,412560
"590",2008,412570
"591",2008,412590
"592",2008,412600
"593",2008,412610
"594",2008,412620
"595",2008,412627
"596",2008,412635
"597",2008,412650
"598",2008,412670
"599",2008,412680
"600",2008,412710
"601",2008,412750
"602",2008,412760
"603",2008,412788
"604",2008,412800
"605",2008,412810
"606",2008,412840
"607",2008,412853
"608",2008,412860
"609",2008,412870
"610",2008,430010
"611",2008,430080
"612",2008,430105
"613",2008,430190
"614",2008,430430
"615",2008,430469
"616",2008,430597
"617",2008,430670
"618",2008,430690
"619",2008,430755
"620",2008,430830
"621",2008,431085
"622",2008,431162
"623",2008,431225
"624",2008,431245
"625",2008,431250
"626",2008,431370
"627",2008,431530
"628",2008,431710
"629",2008,431848
"630",2008,431862
"631",2008,431890
"632",2008,431920
"633",2008,431930
"634",2008,432070
"635",2008,432340
"636",2008,500070
"637",2008,500085
"638",2008,500150
"639",2008,500190
"640",2008,500290
"641",2008,500460
"642",2008,500470
"643",2008,500490
"644",2008,500580
"645",2008,500640
"646",2008,500770
"647",2008,500795
"648",2008,500800
"649",2008,500830
"650",2008,510020
"651",2008,510300
"652",2008,510330
"653",2008,510395
"654",2008,510420
"655",2008,510562
"656",2008,510623
"657",2008,510675
"658",2008,510735
"659",2008,510880
"660",2008,520010
"661",2008,520013
"662",2008,520082
"663",2008,520150
"664",2008,520250
"665",2008,520393
"666",2008,520455
"667",2008,520495
"668",2008,520500
"669",2008,520505
"670",2008,520530
"671",2008,520545
"672",2008,520725
"673",2008,520840
"674",2008,520850
"675",2008,520929
"676",2008,520970
"677",2008,520995
"678",2008,521060
"679",2008,521170
"680",2008,521180
"681",2008,521250
"682",2008,521300
"683",2008,521380
