"","election_year","cod_ibge"
"1",2008,110012
"2",2008,110014
"3",2008,110018
"4",2008,110033
"5",2008,110037
"6",2008,110092
"7",2008,110130
"8",2008,110147
"9",2008,110150
"10",2008,120010
"11",2008,120025
"12",2008,120040
"13",2008,130080
"14",2008,130240
"15",2008,130320
"16",2008,130370
"17",2008,130406
"18",2008,130430
"19",2008,140050
"20",2008,150010
"21",2008,150040
"22",2008,150150
"23",2008,150195
"24",2008,150230
"25",2008,150260
"26",2008,150270
"27",2008,150300
"28",2008,150340
"29",2008,150540
"30",2008,160020
"31",2008,160080
"32",2008,170215
"33",2008,170330
"34",2008,170370
"35",2008,170386
"36",2008,170550
"37",2008,170600
"38",2008,170650
"39",2008,170700
"40",2008,170730
"41",2008,170755
"42",2008,170765
"43",2008,170900
"44",2008,170930
"45",2008,171050
"46",2008,171575
"47",2008,171630
"48",2008,171660
"49",2008,171886
"50",2008,172025
"51",2008,210055
"52",2008,210150
"53",2008,210193
"54",2008,210260
"55",2008,210275
"56",2008,210440
"57",2008,210720
"58",2008,210905
"59",2008,211163
"60",2008,220170
"61",2008,220554
"62",2008,220855
"63",2008,221080
"64",2008,230090
"65",2008,230330
"66",2008,230680
"67",2008,231310
"68",2008,240040
"69",2008,240210
"70",2008,240250
"71",2008,240320
"72",2008,240920
"73",2008,241020
"74",2008,241070
"75",2008,241390
"76",2008,250050
"77",2008,250110
"78",2008,250150
"79",2008,250200
"80",2008,250240
"81",2008,250280
"82",2008,250340
"83",2008,250480
"84",2008,250530
"85",2008,250720
"86",2008,250740
"87",2008,250790
"88",2008,251365
"89",2008,251500
"90",2008,251520
"91",2008,260120
"92",2008,260270
"93",2008,260345
"94",2008,260460
"95",2008,260660
"96",2008,260700
"97",2008,260775
"98",2008,260795
"99",2008,261520
"100",2008,261550
"101",2008,261600
"102",2008,270135
"103",2008,270490
"104",2008,270590
"105",2008,270640
"106",2008,280070
"107",2008,280200
"108",2008,280340
"109",2008,280660
"110",2008,280690
"111",2008,290180
"112",2008,290190
"113",2008,290510
"114",2008,290630
"115",2008,290810
"116",2008,290820
"117",2008,290850
"118",2008,291250
"119",2008,291330
"120",2008,291990
"121",2008,292320
"122",2008,292340
"123",2008,292390
"124",2008,292400
"125",2008,292935
"126",2008,293140
"127",2008,293180
"128",2008,293200
"129",2008,293340
"130",2008,310040
"131",2008,310163
"132",2008,310205
"133",2008,310230
"134",2008,310260
"135",2008,310290
"136",2008,310330
"137",2008,310430
"138",2008,310450
"139",2008,310460
"140",2008,310590
"141",2008,310640
"142",2008,310680
"143",2008,310710
"144",2008,310740
"145",2008,310810
"146",2008,310830
"147",2008,310950
"148",2008,310970
"149",2008,311000
"150",2008,311040
"151",2008,311115
"152",2008,311160
"153",2008,311200
"154",2008,311310
"155",2008,311330
"156",2008,311360
"157",2008,311510
"158",2008,311650
"159",2008,311710
"160",2008,311770
"161",2008,311787
"162",2008,311840
"163",2008,311900
"164",2008,311990
"165",2008,312120
"166",2008,312200
"167",2008,312390
"168",2008,312460
"169",2008,312470
"170",2008,312490
"171",2008,312570
"172",2008,312735
"173",2008,312825
"174",2008,312840
"175",2008,312860
"176",2008,312880
"177",2008,312910
"178",2008,312950
"179",2008,312970
"180",2008,312990
"181",2008,313010
"182",2008,313040
"183",2008,313160
"184",2008,313200
"185",2008,313340
"186",2008,313360
"187",2008,313460
"188",2008,313505
"189",2008,313657
"190",2008,313690
"191",2008,313710
"192",2008,313720
"193",2008,313753
"194",2008,313780
"195",2008,313862
"196",2008,313870
"197",2008,313900
"198",2008,313910
"199",2008,314015
"200",2008,314030
"201",2008,314053
"202",2008,314080
"203",2008,314170
"204",2008,314190
"205",2008,314437
"206",2008,314450
"207",2008,314470
"208",2008,314490
"209",2008,314510
"210",2008,314625
"211",2008,314690
"212",2008,314795
"213",2008,314870
"214",2008,314950
"215",2008,314980
"216",2008,315000
"217",2008,315090
"218",2008,315120
"219",2008,315150
"220",2008,315217
"221",2008,315280
"222",2008,315390
"223",2008,315750
"224",2008,315765
"225",2008,315920
"226",2008,315990
"227",2008,316010
"228",2008,316095
"229",2008,316105
"230",2008,316230
"231",2008,316255
"232",2008,316290
"233",2008,316320
"234",2008,316430
"235",2008,316540
"236",2008,316790
"237",2008,316800
"238",2008,316805
"239",2008,316980
"240",2008,317000
"241",2008,317080
"242",2008,317107
"243",2008,317115
"244",2008,320070
"245",2008,320265
"246",2008,320270
"247",2008,320280
"248",2008,320310
"249",2008,320334
"250",2008,320335
"251",2008,330022
"252",2008,330110
"253",2008,330160
"254",2008,330280
"255",2008,330410
"256",2008,330411
"257",2008,330513
"258",2008,350055
"259",2008,350120
"260",2008,350210
"261",2008,350230
"262",2008,350310
"263",2008,350380
"264",2008,350390
"265",2008,350400
"266",2008,350450
"267",2008,350480
"268",2008,350500
"269",2008,350510
"270",2008,350550
"271",2008,350610
"272",2008,350650
"273",2008,350710
"274",2008,350715
"275",2008,350770
"276",2008,350830
"277",2008,350860
"278",2008,350930
"279",2008,351000
"280",2008,351030
"281",2008,351070
"282",2008,351210
"283",2008,351230
"284",2008,351250
"285",2008,351470
"286",2008,351490
"287",2008,351570
"288",2008,351590
"289",2008,351630
"290",2008,351690
"291",2008,351710
"292",2008,351780
"293",2008,351850
"294",2008,351907
"295",2008,351990
"296",2008,352120
"297",2008,352140
"298",2008,352150
"299",2008,352220
"300",2008,352230
"301",2008,352280
"302",2008,352300
"303",2008,352310
"304",2008,352400
"305",2008,352420
"306",2008,352450
"307",2008,352600
"308",2008,352660
"309",2008,352790
"310",2008,352800
"311",2008,352900
"312",2008,352950
"313",2008,353010
"314",2008,353090
"315",2008,353190
"316",2008,353210
"317",2008,353240
"318",2008,353260
"319",2008,353300
"320",2008,353400
"321",2008,353440
"322",2008,353540
"323",2008,353630
"324",2008,353640
"325",2008,353670
"326",2008,353710
"327",2008,353780
"328",2008,353800
"329",2008,353850
"330",2008,353870
"331",2008,353880
"332",2008,354025
"333",2008,354030
"334",2008,354060
"335",2008,354075
"336",2008,354130
"337",2008,354160
"338",2008,354180
"339",2008,354300
"340",2008,354350
"341",2008,354370
"342",2008,354390
"343",2008,354430
"344",2008,354460
"345",2008,354510
"346",2008,354520
"347",2008,354810
"348",2008,354860
"349",2008,354910
"350",2008,354995
"351",2008,355020
"352",2008,355070
"353",2008,355130
"354",2008,355230
"355",2008,355270
"356",2008,355310
"357",2008,355350
"358",2008,355420
"359",2008,355465
"360",2008,355500
"361",2008,355510
"362",2008,355550
"363",2008,355660
"364",2008,355690
"365",2008,410030
"366",2008,410060
"367",2008,410304
"368",2008,410305
"369",2008,410330
"370",2008,410350
"371",2008,410360
"372",2008,410395
"373",2008,410400
"374",2008,410420
"375",2008,410445
"376",2008,410460
"377",2008,410465
"378",2008,410540
"379",2008,410560
"380",2008,410580
"381",2008,410600
"382",2008,410620
"383",2008,410640
"384",2008,410700
"385",2008,410712
"386",2008,410850
"387",2008,410870
"388",2008,410900
"389",2008,410975
"390",2008,410990
"391",2008,411007
"392",2008,411080
"393",2008,411120
"394",2008,411130
"395",2008,411140
"396",2008,411160
"397",2008,411190
"398",2008,411220
"399",2008,411230
"400",2008,411340
"401",2008,411380
"402",2008,411400
"403",2008,411430
"404",2008,411435
"405",2008,411770
"406",2008,411810
"407",2008,411890
"408",2008,411925
"409",2008,411950
"410",2008,412010
"411",2008,412015
"412",2008,412040
"413",2008,412060
"414",2008,412090
"415",2008,412120
"416",2008,412130
"417",2008,412135
"418",2008,412140
"419",2008,412215
"420",2008,412260
"421",2008,412265
"422",2008,412270
"423",2008,412320
"424",2008,412330
"425",2008,412360
"426",2008,412390
"427",2008,412520
"428",2008,412540
"429",2008,412590
"430",2008,412610
"431",2008,412620
"432",2008,412627
"433",2008,412635
"434",2008,412680
"435",2008,412710
"436",2008,412750
"437",2008,412760
"438",2008,412788
"439",2008,412800
"440",2008,412810
"441",2008,412840
"442",2008,412853
"443",2008,412860
"444",2008,412870
"445",2008,430010
"446",2008,430080
"447",2008,430105
"448",2008,430190
"449",2008,430430
"450",2008,430469
"451",2008,430597
"452",2008,430670
"453",2008,430690
"454",2008,430755
"455",2008,431085
"456",2008,431225
"457",2008,431245
"458",2008,431370
"459",2008,431530
"460",2008,431710
"461",2008,431862
"462",2008,431930
"463",2008,432070
"464",2008,500070
"465",2008,500085
"466",2008,500190
"467",2008,500460
"468",2008,500470
"469",2008,500490
"470",2008,500580
"471",2008,500640
"472",2008,500770
"473",2008,500795
"474",2008,500800
"475",2008,500830
"476",2008,510020
"477",2008,510300
"478",2008,510330
"479",2008,510395
"480",2008,510562
"481",2008,510623
"482",2008,510675
"483",2008,510880
"484",2008,520010
"485",2008,520013
"486",2008,520082
"487",2008,520150
"488",2008,520250
"489",2008,520393
"490",2008,520495
"491",2008,520500
"492",2008,520505
"493",2008,520530
"494",2008,520850
"495",2008,520929
"496",2008,520970
"497",2008,520995
"498",2008,521060
"499",2008,521170
"500",2008,521180
"501",2008,521250
"502",2008,521300
"503",2008,521380
"504",2008,521440
"505",2008,521500
"506",2008,521540
"507",2008,521590
"508",2008,521600
"509",2008,521730
"510",2008,521930
"511",2008,522026
"512",2008,522028
"513",2008,522060
"514",2008,522119
"515",2012,110110
"516",2012,110130
"517",2012,130006
"518",2012,130040
"519",2012,130130
"520",2012,130165
"521",2012,130210
"522",2012,130330
"523",2012,140045
"524",2012,140070
"525",2012,150010
"526",2012,150157
"527",2012,150190
"528",2012,150220
"529",2012,150290
"530",2012,150320
"531",2012,150410
"532",2012,150540
"533",2012,150610
"534",2012,150640
"535",2012,150790
"536",2012,150796
"537",2012,150820
"538",2012,160010
"539",2012,160020
"540",2012,160080
"541",2012,170030
"542",2012,170040
"543",2012,170255
"544",2012,170382
"545",2012,170730
"546",2012,170980
"547",2012,171200
"548",2012,171250
"549",2012,171360
"550",2012,171395
"551",2012,171488
"552",2012,171500
"553",2012,171800
"554",2012,171840
"555",2012,171850
"556",2012,171890
"557",2012,171900
"558",2012,172130
"559",2012,210180
"560",2012,210250
"561",2012,210520
"562",2012,211167
"563",2012,220025
"564",2012,220225
"565",2012,220290
"566",2012,220380
"567",2012,220440
"568",2012,220560
"569",2012,221038
"570",2012,221050
"571",2012,240400
"572",2012,240540
"573",2012,240790
"574",2012,241500
"575",2012,250407
"576",2012,251430
"577",2012,251480
"578",2012,260580
"579",2012,260760
"580",2012,260775
"581",2012,260805
"582",2012,261430
"583",2012,270135
"584",2012,270200
"585",2012,270220
"586",2012,270790
"587",2012,280050
"588",2012,280190
"589",2012,280220
"590",2012,280460
"591",2012,280640
"592",2012,280700
"593",2012,280740
"594",2012,290360
"595",2012,290830
"596",2012,291600
"597",2012,291870
"598",2012,291990
"599",2012,292210
