uf,cod_uf,cod_municipio,municipio,populacao_2012
RO,11,00015,Alta Floresta D'Oeste,24069
RO,11,00379,Alto Alegre dos Parecis,12833
RO,11,00403,Alto Paraíso,17742
RO,11,00346,Alvorada D'Oeste,16404
RO,11,00023,Ariquemes,92747
RO,11,00452,Buritis,33397
RO,11,00031,Cabixi,6132
RO,11,00601,Cacaulândia,5791
RO,11,00049,Cacoal,79330
RO,11,00700,Campo Novo de Rondônia,12847
RO,11,00809,Candeias do Jamari,20787
RO,11,00908,Castanheiras,3479
RO,11,00056,Cerejeiras,16852
RO,11,00924,Chupinguaia,8721
RO,11,00064,Colorado do Oeste,18093
RO,11,00072,Corumbiara,8530
RO,11,00080,Costa Marques,14355
RO,11,00940,Cujubim,17262
RO,11,00098,Espigão D'Oeste,29189
RO,11,01005,Governador Jorge Teixeira,10040
RO,11,00106,Guajará-Mirim,42202
RO,11,01104,Itapuã do Oeste,8830
RO,11,00114,Jaru,51765
RO,11,00122,Ji-Paraná,118092
RO,11,00130,Machadinho D'Oeste,32403
RO,11,01203,Ministro Andreazza,10203
RO,11,01302,Mirante da Serra,11686
RO,11,01401,Monte Negro,14313
RO,11,00148,Nova Brasilândia D'Oeste,19891
RO,11,00338,Nova Mamoré,23719
RO,11,01435,Nova União,7382
RO,11,00502,Novo Horizonte do Oeste,9933
RO,11,00155,Ouro Preto do Oeste,37482
RO,11,01450,Parecis,4990
RO,11,00189,Pimenta Bueno,34135
RO,11,01468,Pimenteiras do Oeste,2283
RO,11,00205,Porto Velho,442701
RO,11,00254,Presidente Médici,21709
RO,11,01476,Primavera de Rondônia,3406
RO,11,00262,Rio Crespo,3374
RO,11,00288,Rolim de Moura,51142
RO,11,00296,Santa Luzia D'Oeste,8476
RO,11,01484,São Felipe D'Oeste,5862
RO,11,01492,São Francisco do Guaporé,16636
RO,11,00320,São Miguel do Guaporé,21927
RO,11,01500,Seringueiras,11619
RO,11,01559,Teixeirópolis,4778
RO,11,01609,Theobroma,10575
RO,11,01708,Urupá,12687
RO,11,01757,Vale do Anari,9633
RO,11,01807,Vale do Paraíso,7961
RO,11,00304,Vilhena,79616
AC,12,00013,Acrelândia,13011
AC,12,00054,Assis Brasil,6308
AC,12,00104,Brasiléia,22261
AC,12,00138,Bujari,8782
AC,12,00179,Capixaba,9368
AC,12,00203,Cruzeiro do Sul,79819
AC,12,00252,Epitaciolândia,15679
AC,12,00302,Feijó,32560
AC,12,00328,Jordão,6898
AC,12,00336,Mâncio Lima,15890
AC,12,00344,Manoel Urbano,8224
AC,12,00351,Marechal Thaumaturgo,15123
AC,12,00385,Plácido de Castro,17587
AC,12,00807,Porto Acre,15534
AC,12,00393,Porto Walter,9711
AC,12,00401,Rio Branco,348354
AC,12,00427,Rodrigues Alves,15260
AC,12,00435,Santa Rosa do Purus,5061
AC,12,00500,Sena Madureira,39366
AC,12,00450,Senador Guiomard,20588
AC,12,00609,Tarauacá,36763
AC,12,00708,Xapuri,16639
AM,13,00029,Alvarães,14381
AM,13,00060,Amaturá,9794
AM,13,00086,Anamã,10766
AM,13,00102,Anori,17072
AM,13,00144,Apuí,18633
AM,13,00201,Atalaia do Norte,15924
AM,13,00300,Autazes,33312
AM,13,00409,Barcelos,25948
AM,13,00508,Barreirinha,28077
AM,13,00607,Benjamin Constant,34950
AM,13,00631,Beruri,16158
AM,13,00680,Boa Vista do Ramos,15659
AM,13,00706,Boca do Acre,31171
AM,13,00805,Borba,35919
AM,13,00839,Caapiranga,11303
AM,13,00904,Canutama,13986
AM,13,01001,Carauari,26130
AM,13,01100,Careiro,33517
AM,13,01159,Careiro da Várzea,24937
AM,13,01209,Coari,77305
AM,13,01308,Codajás,24067
AM,13,01407,Eirunepé,31364
AM,13,01506,Envira,16923
AM,13,01605,Fonte Boa,23198
AM,13,01654,Guajará,14396
AM,13,01704,Humaitá,45954
AM,13,01803,Ipixuna,23460
AM,13,01852,Iranduba,41947
AM,13,01902,Itacoatiara,89064
AM,13,01951,Itamarati,7983
AM,13,02009,Itapiranga,8348
AM,13,02108,Japurá,7448
AM,13,02207,Juruá,11439
AM,13,02306,Jutaí,18293
AM,13,02405,Lábrea,39022
AM,13,02504,Manacapuru,86985
AM,13,02553,Manaquiri,24325
AM,13,02603,Manaus,1861838
AM,13,02702,Manicoré,48373
AM,13,02801,Maraã,17596
AM,13,02900,Maués,54079
AM,13,03007,Nhamundá,18720
AM,13,03106,Nova Olinda do Norte,31749
AM,13,03205,Novo Airão,15489
AM,13,03304,Novo Aripuanã,22106
AM,13,03403,Parintins,103828
AM,13,03502,Pauini,18329
AM,13,03536,Presidente Figueiredo,28652
AM,13,03569,Rio Preto da Eva,26948
AM,13,03601,Santa Isabel do Rio Negro,19292
AM,13,03700,Santo Antônio do Içá,24890
AM,13,03809,São Gabriel da Cachoeira,39097
AM,13,03908,São Paulo de Olivença,32677
AM,13,03957,São Sebastião do Uatumã,11241
AM,13,04005,Silves,8544
AM,13,04062,Tabatinga,54440
AM,13,04104,Tapauá,17903
AM,13,04203,Tefé,61000
AM,13,04237,Tonantins,17316
AM,13,04260,Uarini,12139
AM,13,04302,Urucará,16902
AM,13,04401,Urucurituba,18679
RR,14,00050,Alto Alegre,16228
RR,14,00027,Amajari,9936
RR,14,00100,Boa Vista,296959
RR,14,00159,Bonfim,11188
RR,14,00175,Cantá,14707
RR,14,00209,Caracaraí,19019
RR,14,00233,Caroebe,8480
RR,14,00282,Iracema,9288
RR,14,00308,Mucajaí,15328
RR,14,00407,Normandia,9364
RR,14,00456,Pacaraima,10953
RR,14,00472,Rorainópolis,25319
RR,14,00506,São João da Baliza,7023
RR,14,00605,São Luiz,6968
RR,14,00704,Uiramutã,8764
PA,15,00107,Abaetetuba,144415
PA,15,00131,Abel Figueiredo,6905
PA,15,00206,Acará,53787
PA,15,00305,Afuá,35879
PA,15,00347,Água Azul do Norte,25506
PA,15,00404,Alenquer,53369
PA,15,00503,Almeirim,33563
PA,15,00602,Altamira,102343
PA,15,00701,Anajás,25731
PA,15,00800,Ananindeua,483821
PA,15,00859,Anapu,22225
PA,15,00909,Augusto Corrêa,41628
PA,15,00958,Aurora do Pará,27576
PA,15,01006,Aveiro,15899
PA,15,01105,Bagre,25398
PA,15,01204,Baião,39263
PA,15,01253,Bannach,3379
PA,15,01303,Barcarena,105385
PA,15,01402,Belém,1410430
PA,15,01451,Belterra,16579
PA,15,01501,Benevides,54083
PA,15,01576,Bom Jesus do Tocantins,15629
PA,15,01600,Bonito,14207
PA,15,01709,Bragança,116164
PA,15,01725,Brasil Novo,17960
PA,15,01758,Brejo Grande do Araguaia,7295
PA,15,01782,Breu Branco,55521
PA,15,01808,Breves,94779
PA,15,01907,Bujaru,26400
PA,15,02004,Cachoeira do Arari,21147
PA,15,01956,Cachoeira do Piriá,28153
PA,15,02103,Cametá,124411
PA,15,02152,Canaã dos Carajás,29101
PA,15,02202,Capanema,64624
PA,15,02301,Capitão Poço,52214
PA,15,02400,Castanhal,178986
PA,15,02509,Chaves,21557
PA,15,02608,Colares,11495
PA,15,02707,Conceição do Araguaia,45885
PA,15,02756,Concórdia do Pará,29313
PA,15,02764,Cumaru do Norte,11144
PA,15,02772,Curionópolis,18108
PA,15,02806,Curralinho,29838
PA,15,02855,Curuá,12712
PA,15,02905,Curuçá,35523
PA,15,02939,Dom Eliseu,53100
PA,15,02954,Eldorado dos Carajás,32115
PA,15,03002,Faro,7897
PA,15,03044,Floresta do Araguaia,18295
PA,15,03077,Garrafão do Norte,25157
PA,15,03093,Goianésia do Pará,35299
PA,15,03101,Gurupá,29963
PA,15,03200,Igarapé-Açu,36414
PA,15,03309,Igarapé-Miri,58904
PA,15,03408,Inhangapi,10393
PA,15,03457,Ipixuna do Pará,51569
PA,15,03507,Irituia,31492
PA,15,03606,Itaituba,97908
PA,15,03705,Itupiranga,51457
PA,15,03754,Jacareacanga,41487
PA,15,03804,Jacundá,52993
PA,15,03903,Juruti,49486
PA,15,04000,Limoeiro do Ajuru,25846
PA,15,04059,Mãe do Rio,28290
PA,15,04109,Magalhães Barata,8179
PA,15,04208,Marabá,243583
PA,15,04307,Maracanã,28498
PA,15,04406,Marapanim,26890
PA,15,04422,Marituba,113353
PA,15,04455,Medicilândia,28227
PA,15,04505,Melgaço,25374
PA,15,04604,Mocajuba,27666
PA,15,04703,Moju,72597
PA,15,04752,Mojuí dos Campos (**),15018
PA,15,04802,Monte Alegre,55804
PA,15,04901,Muaná,35524
PA,15,04950,Nova Esperança do Piriá,20350
PA,15,04976,Nova Ipixuna,15065
PA,15,05007,Nova Timboteua,14012
PA,15,05031,Novo Progresso,25151
PA,15,05064,Novo Repartimento,65106
PA,15,05106,Óbidos,49763
PA,15,05205,Oeiras do Pará,29402
PA,15,05304,Oriximiná,64978
PA,15,05403,Ourém,16601
PA,15,05437,Ourilândia do Norte,28551
PA,15,05486,Pacajá,41654
PA,15,05494,Palestina do Pará,7465
